
06-07-2017 15:24:23;b8d174554df3e135be3e0d2e3a60a9b5;5
06-07-2017 15:26:19;5feb24e2796d2dc57b8e2e70212af7d8;3
06-07-2017 15:28:59;502c6ed6676a7c7bdb905864d1dc88bd;2.5
06-07-2017 15:40:25;c59ac2280317a390d458f245362d3c10;4
06-07-2017 19:26:16;13a7a023f0cb9dbac46187a0b1886ec5;3.5
06-07-2017 19:27:07;f7f086f18ff9327491e0b8878ed0ec69;4
07-07-2017 12:27:43;45d8d8fbd5c781d07710b378a203e2f8;0.5
07-07-2017 13:42:06;230025240eab671eb4efa27fe71971ff;3
07-07-2017 13:44:16;a7afd492d704f5a9555c161abb92d967;4
07-07-2017 14:10:01;4adce51c0f8a68cc252023a2a40de610;2
10-07-2017 10:03:32;ec8d016c5fe4159cae71978df9d92bff;4.5
10-07-2017 16:44:09;2c9aaadc825d0931618ab493339158a7;3.5
10-07-2017 16:47:20;4d5326d4534a7b2b5416fe9a30208083;2
10-07-2017 20:22:06;cd86484eb22f620778bac6432334c76c;2.5
12-07-2017 14:46:50;1fd008689f842ea33dddb148184e2c01;2.5
14-07-2017 17:45:46;8d9ba4171fc2998cb7e24ba1e990e14a;1.5
14-07-2017 18:03:35;3556e450cf1309b3d7b36f76d1ad3b7b;2.5
14-07-2017 22:48:16;31f6813142b424f27b4c40f2a250f619;3
17-07-2017 16:53:30;c230f9c44d756217226b1672abb647af;2
17-07-2017 17:50:49;971e5c770e3e1338b291bec5b5a9b558;2.5
17-07-2017 18:43:25;085339d0cc97a14cc24818b7337f7523;2.5
17-07-2017 19:01:07;2760b7656c482dc31ad0bc3b62695158;5
17-07-2017 19:15:47;6330c41bd40263540da392513e75ad90;3.5
17-07-2017 19:18:46;4f42336968998d6c1ceaa1d799e2c0a2;3.5
17-07-2017 19:35:08;5678ba76c5858e354d87cd425ae0cf8d;2.5
17-07-2017 19:47:09;75bdd4d6f84885382fb0c1565af3ca94;3
17-07-2017 20:03:01;29c042b0df60f14b4a5897991751066d;3.5
19-07-2017 11:58:01;51ea029048347a1493dda93d3b173fec;1.5
19-07-2017 13:36:05;cb7d80be5badeec0d1ab126189fe7004;3.5
19-07-2017 15:46:32;c5aea8eb5b091f11f88654335e5045f9;3
19-07-2017 16:36:15;ea269907ab9cd88296b97ee75e38bd6b;3.5
19-07-2017 16:44:46;c0340588b50631379170ccc13a812939;2.5
